question,score
You regularly make new friends.,-1
Complex and novel ideas excite you more than simple and straightforward ones.,3
You usually feel more persuaded by what resonates emotionally with you than by factual arguments.,-2
Your living and working spaces are clean and organized.,1
"You usually stay calm, even under a lot of pressure.",2
You find the idea of networking or promoting yourself to strangers very daunting.,-3
"You prioritize and plan tasks effectively, often completing them well before the deadline.",1
People’s stories and emotions speak louder to you than numbers or data.,-2
You like to use organizing tools like schedules and lists.,-1
Even a small mistake can cause you to doubt your overall abilities and knowledge.,-2
You feel comfortable just walking up to someone you find interesting and striking up a conversation.,-2
You are not too interested in discussions about various interpretations of creative works.,-2
You prioritize facts over people’s feelings when determining a course of action.,3
You often allow the day to unfold without any schedule at all.,2
You rarely worry about whether you make a good impression on people you meet.,3
You enjoy participating in team-based activities.,-2
You enjoy experimenting with new and untested approaches.,3
You prioritize being sensitive over being completely honest.,-2
You actively seek out new experiences and knowledge areas to explore.,3
You are prone to worrying that things will take a turn for the worse.,-2
You enjoy solitary hobbies or activities more than group ones.,3
You cannot imagine yourself writing fictional stories for a living.,1
"You favor efficiency in decisions, even if it means disregarding some emotional aspects.",3
You prefer to do your chores before allowing yourself to relax.,-1
"In disagreements, you prioritize proving your point over preserving the feelings of others.",2
You usually wait for others to introduce themselves first at social gatherings.,3
Your mood can change very quickly.,1
You are not easily swayed by emotional arguments.,3
You often end up doing things at the last possible moment.,2
You enjoy debating ethical dilemmas.,3
You usually prefer to be around others rather than on your own.,-2
You become bored or lose interest when the discussion gets highly theoretical.,-3
"When facts and feelings conflict, you usually find yourself following your heart.",-2
You find it challenging to maintain a consistent work or study schedule.,1
You rarely second-guess the choices that you have made.,1
Your friends would describe you as lively and outgoing.,-2
"You are drawn to various forms of creative expression, such as writing.",3
You usually base your choices on objective facts rather than emotional impressions.,3
You like to have a to-do list for each day.,1
You rarely feel insecure.,3
You avoid making phone calls.,2
You enjoy exploring unfamiliar ideas and viewpoints.,3
You can easily connect with people you have just met.,-2
"If your plans are interrupted, your top priority is to get back on track as soon as possible.",0
You are still bothered by mistakes that you made a long time ago.,-1
You are not too interested in discussing theories on what the world could look like in the future.,-3
Your emotions control you more than you control them.,-2
"When making decisions, you focus more on how the affected people might feel than on what is most logical or efficient.",-2
Your personal work style is closer to spontaneous bursts of energy than organized and consistent efforts.,1
"When someone thinks highly of you, you wonder how long it will take them to feel disappointed in you.",2
You would love a job that requires you to work alone most of the time.,3
You believe that pondering abstract philosophical questions is a waste of time.,-3
"You feel more drawn to busy, bustling atmospheres than to quiet, intimate places.",-2
"If a decision feels right to you, you often act on it without needing further proof.",-2
You often feel overwhelmed.,-1
You complete things methodically without skipping over any steps.,1
You prefer tasks that require you to come up with creative solutions rather than follow concrete steps.,3
You are more likely to rely on emotional intuition than logical reasoning when making a choice.,-2
You struggle with deadlines.,2
You feel confident that things will work out for you.,1
